Woche;Zeitraum;Buchdrucker
779;09.03.2020-15.03.2020;
780;16.03.2020-22.03.2020;
781;23.03.2020-29.03.2020;0
782;30.03.2020-05.04.2020;0
783;06.04.2020-12.04.2020;82
784;13.04.2020-19.04.2020;202
785;20.04.2020-26.04.2020;540
786;27.04.2020-03.05.2020;1.260
787;04.05.2020-10.05.2020;158
788;11.05.2020-17.05.2020;3.800
789;18.05.2020-24.05.2020;2.070
790;25.05.2020-31.05.2020;1.125
791;01.06.2020-07.06.2020;720
792;08.06.2020-14.06.2020;6.750
793;15.06.2020-21.06.2020;3.600
794;22.06.2020-28.06.2020;1.620
795;29.06.2020-05.07.2020;3.825
796;06.07.2020-12.07.2020;1.350
797;13.07.2020-19.07.2020;1.575
798;20.07.2020-26.07.2020;3.600
799;27.07.2020-02.08.2020;2.250
800;03.08.2020-09.08.2020;720
801;10.08.2020-16.08.2020;450
802;17.08.2020-23.08.2020;285
803;24.08.2020-30.08.2020;450
804;31.08.2020-06.09.2020;62
805;07.09.2020-13.09.2020;280
806;14.09.2020-20.09.2020;1.000
807;21.09.2020-27.09.2020;170
808;28.09.2020-04.10.2020;18
809;05.10.2020-11.10.2020;8
810;12.10.2020-18.10.2020;
811;19.10.2020-25.10.2020;13
812;26.10.2020-01.11.2020;
813;02.11.2020-08.11.2020;
830;01.03.2021-07.03.2021;
831;08.03.2021-14.03.2021;
832;15.03.2021-21.03.2021;
833;22.03.2021-28.03.2021;
834;29.03.2021-04.04.2021;5
835;05.04.2021-11.04.2021;3
836;12.04.2021-18.04.2021;6
837;19.04.2021-25.04.2021;2
838;26.04.2021-02.05.2021;20
839;03.05.2021-09.05.2021;182
840;10.05.2021-16.05.2021;1.800
841;17.05.2021-23.05.2021;142
842;24.05.2021-30.05.2021;315
843;31.05.2021-06.06.2021;2.475
844;07.06.2021-13.06.2021;2.700
845;14.06.2021-20.06.2021;2.115
846;21.06.2021-27.06.2021;2.700
847;28.06.2021-04.07.2021;1.080
848;05.07.2021-11.07.2021;1.575
849;12.07.2021-18.07.2021;2.610
850;19.07.2021-25.07.2021;3.600
851;26.07.2021-01.08.2021;3.150
852;02.08.2021-08.08.2021;32
853;09.08.2021-15.08.2021;27
854;16.08.2021-22.08.2021;360
855;23.08.2021-29.08.2021;68
856;30.08.2021-05.09.2021;3
857;06.09.2021-12.09.2021;68
858;13.09.2021-19.09.2021;205
859;20.09.2021-26.09.2021;18
860;27.09.2021-03.10.2021;51
861;04.10.2021-10.10.2021;18
862;11.10.2021-17.10.2021;0
863;18.10.2021-24.10.2021;0
864;25.10.2021-31.10.2021;
